Undergraduate Institution,Total Applicants from the Institution,year
"University of Chicago, Chicago, IL",153,2019
"Georgia State University, Atlanta, GA",150,2019
"University of New Mexico-Main Campus, Albuquerque, NM",150,2019
"College of William & Mary, Williamsburg, VA",149,2019
"Georgetown University, Washington, DC",147,2019
"George Washington University, Washington, DC",146,2019
"Miami University, Oxford, OH",146,2019
"Princeton University, Princeton, NJ",143,2019
"The University of Texas at Arlington, Arlington, TX",142,2019
"University of Alabama at Birmingham, Birmingham, AL",142,2019
"University of Massachusetts-Amherst, Amherst, MA",142,2019
"North Carolina State University, Raleigh, NC",141,2019
"University of Rochester, Rochester, NY",141,2019
"Temple University, Philadelphia, PA",138,2019
"Mississippi State University, Mississippi State, MS",131,2019
"University of Nevada-Reno, Reno, NV",131,2019
"Purdue University-Main Campus, West Lafayette, IN",130,2019
"Drexel University, Philadelphia, PA",129,2019
"Oregon State University, Corvallis, OR",128,2019
"Virginia Polytechnic Institute and State University, Blacksburg, VA",124,2019
"West Virginia University, Morgantown, WV",123,2019
"University of Nebraska - Lincoln, Lincoln, NE",122,2019
"University of Oregon, Eugene, OR",122,2019
"McGill University, Montreal, QC",121,2019
"University of Louisville, Louisville, KY",120,2019
"McMaster University, Hamilton, ON",115,2019
"University at Buffalo-SUNY, Buffalo, NY",115,2019
"City University of New York Hunter College, New York, NY",114,2019
"University of Hawaii at Manoa, Honolulu, HI",114,2019
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",114,2019
"George Mason University, Fairfax, VA",112,2019
"The University of Texas Rio Grande Valley, Edinburg, TX",112,2019
"University of North Texas, Denton, TX",110,2019
"University of California-Santa Cruz, Santa Cruz, CA",108,2019
"University of Maryland-Baltimore County, Baltimore, MD",106,2019
"University of Nevada-Las Vegas, Las Vegas, NV",106,2019
"University of Cincinnati Main Campus, Cincinnati, OH",105,2019
"University of Delaware, Newark, DE",103,2019
"Xavier University of Louisiana, New Orleans, LA",103,2019
"City University of New York Brooklyn College, Brooklyn, NY",101,2019
"Howard University, Washington, DC",101,2019
"Oakland University, Rochester, MI",99,2019
"East Carolina University, Greenville, NC",98,2019
"Kansas State University, Manhattan, KS",98,2019
"Syracuse University, Syracuse, NY",97,2019
"Colorado State University, Fort Collins, CO",96,2019
"Brandeis University, Waltham, MA",95,2019
"Fordham University, Bronx, NY",95,2019
"Indiana University-Purdue University-Indianapolis, Indianapolis, IN",93,2019
"Iowa State University, Ames, IA",92,2019
"Marquette University, Milwaukee, WI",89,2019
"Southern Methodist University, Dallas, TX",88,2019
"The College Of New Jersey, Ewing, NJ",86,2019
"Massachusetts Institute of Technology, Cambridge, MA",85,2019
"Nova Southeastern University, Fort Lauderdale, FL",84,2019
"University of Toledo, Toledo, OH",83,2019
"Grand Valley State University, Allendale, MI",82,2019
"Oklahoma State University, Stillwater, OK",82,2019
"Texas Christian University, Fort Worth, TX",82,2019
"University of British Columbia, Vancouver, BC",81,2019
"Villanova University, Villanova, PA",80,2019
"University of North Dakota, Grand Forks, ND",79,2019
"University of Texas at El Paso, El Paso, TX",78,2019
"University of Dayton, Dayton, OH",77,2019
"Texas State University-San Marcos, San Marcos, TX",73,2019
"Wellesley College, Wellesley, MA",71,2019
"Barnard College, New York, NY",70,2019
"Santa Clara University, Santa Clara, CA",70,2019
"University of Vermont, Burlington, VT",70,2019
